2025-12-22 13:43:37,362 | INFO | Local log saved: results/scan_20251222_1343.json
2025-12-22 13:43:38,392 | INFO | Telegram message sent successfully.
2025-12-22 19:10:31,039 | INFO | Local log saved: results/scan_20251222_1910.json
2025-12-22 19:10:32,143 | INFO | Telegram message sent successfully.
2025-12-22 19:11:38,117 | INFO | Telegram message sent successfully.
2025-12-22 20:49:05,709 | INFO | Telegram message sent successfully.
2025-12-22 20:55:48,740 | INFO | Local log saved: results/scan_20251222_2055.json
2025-12-22 20:55:49,821 | INFO | Telegram message sent successfully.
2025-12-22 20:58:42,930 | INFO | Telegram message sent successfully.
2025-12-22 21:04:06,419 | INFO | Local log saved: results/scan_20251222_2104.json
2025-12-22 21:04:07,484 | INFO | Telegram message sent successfully.
2025-12-22 21:04:44,671 | INFO | Telegram message sent successfully.
2025-12-22 21:19:41,353 | INFO | Telegram message sent successfully.
2025-12-22 21:20:28,320 | INFO | Local log saved: results/scan_20251222_2120.json
2025-12-22 21:20:29,336 | INFO | Telegram message sent successfully.
2025-12-23 08:45:35,261 | INFO | Telegram message sent successfully.
2025-12-23 08:48:44,512 | WARNING | Telegram API returned HTTP 400
2025-12-23 09:02:08,560 | INFO | Telegram message sent successfully.
2025-12-23 09:10:27,652 | INFO | Telegram message sent successfully.
2025-12-23 09:14:32,003 | INFO | Local log saved: results/scan_20251223_0914.json
2025-12-23 09:14:33,017 | INFO | Telegram message sent successfully.
2025-12-23 09:19:56,382 | INFO | Telegram message sent successfully.
2025-12-23 12:55:13,043 | INFO | Telegram message sent successfully.
2025-12-23 12:55:23,567 | INFO | Telegram message sent successfully.
2025-12-23 12:56:05,159 | INFO | Local log saved: results/scan_20251223_1256.json
2025-12-23 12:56:06,177 | INFO | Telegram message sent successfully.
2025-12-23 12:59:35,799 | INFO | Telegram message sent successfully.
2025-12-23 15:31:01,119 | INFO | Telegram message sent successfully.
2025-12-23 15:39:20,697 | INFO | Local log saved: results/scan_20251223_1539.json
2025-12-23 15:39:21,737 | INFO | Telegram message sent successfully.
2025-12-23 15:42:54,448 | INFO | Telegram message sent successfully.
2025-12-23 15:48:56,384 | INFO | Local log saved: results/scan_20251223_1548.json
2025-12-23 15:48:57,420 | INFO | Telegram message sent successfully.
2025-12-23 16:08:01,891 | INFO | Local log saved: results/scan_20251223_1608.json
2025-12-23 16:08:02,912 | INFO | Telegram message sent successfully.
2025-12-23 16:10:48,043 | INFO | Local log saved: results/scan_20251223_1610.json
2025-12-23 16:10:49,069 | INFO | Telegram message sent successfully.
2025-12-23 16:15:36,391 | INFO | Local log saved: results/scan_20251223_1615.json
2025-12-23 16:15:37,400 | INFO | Telegram message sent successfully.
2025-12-23 16:28:16,513 | INFO | Local log saved: results/scan_20251223_1628.json
2025-12-23 16:28:17,564 | INFO | Telegram message sent successfully.
